node_id,node_name,hfis_name,beds_total,match_method,match_score,bed_breakdown_json
hospital_elmhurst_hospital_center,Elmhurst Hospital Center,Elmhurst Hospital Center,545,exact_normalized,1.0,"{""Coronary Care"": 9.0, ""Intensive Care"": 20.0, ""Maternity"": 44.0, ""Medical / Surgical"": 233.0, ""Neonatal Continuing Care"": 12.0, ""Neonatal Intensive Care"": 9.0, ""Neonatal Intermediate Care"": 9.0, ""Pediatric"": 22.0, ""Physical Medicine and Rehabilitation"": 10.0, ""Psychiatric"": 177.0}"
hospital_richmond_university_medical_center,Richmond University Medical Center,Richmond University Medical Center,448,exact_normalized,1.0,"{""Chemical Dependence - Detoxification"": 7.0, ""Coronary Care"": 10.0, ""Intensive Care"": 24.0, ""Maternity"": 34.0, ""Medical / Surgical"": 282.0, ""Neonatal Continuing Care"": 6.0, ""Neonatal Intensive Care"": 8.0, ""Neonatal Intermediate Care"": 11.0, ""Pediatric"": 23.0, ""Pediatric ICU"": 3.0, ""Psychiatric"": 40.0}"
hospital_mount_sinai_beth_israel,Mount Sinai Beth Israel,(closed — not in HFIS),0,closed_not_in_hfis,1.0,{}
hospital_new_york_presbyterian_david_h__koch_cent,New York-Presbyterian David H. Koch Center,New York-Presbyterian David H. Koch Center,135,exact_normalized,1.0,"{""Maternity"": 75.0, ""Neonatal Continuing Care"": 12.0, ""Neonatal Intensive Care"": 24.0, ""Neonatal Intermediate Care"": 24.0}"
hospital_maimonides_medical_center,Maimonides Medical Center,Maimonides Medical Center,711,exact_normalized,1.0,"{""Coronary Care"": 10.0, ""Intensive Care"": 40.0, ""Maternity"": 69.0, ""Medical / Surgical"": 448.0, ""Neonatal Continuing Care"": 9.0, ""Neonatal Intensive Care"": 10.0, ""Neonatal Intermediate Care"": 12.0, ""Pediatric"": 32.0, ""Pediatric ICU"": 11.0, ""Psychiatric"": 70.0}"
hospital_mount_sinai_hospital___mount_sinai_hospi,Mount Sinai Hospital - Mount Sinai Hospital Of Queens,Mount Sinai Hospital - Mount Sinai Hospital of Queens,228,exact_normalized,1.0,"{""Intensive Care"": 8.0, ""Medical / Surgical"": 220.0}"
hospital_david_h__koch_center_for_cancer_care,David H. Koch Center For Cancer Care,David H. Koch Center For Cancer Care,16,exact_normalized,1.0,"{""Medical / Surgical"": 16.0}"
hospital_mount_sinai_hospital,Mount Sinai Hospital,Mount Sinai Hospital,1121,exact_normalized,1.0,"{""AIDS"": 50.0, ""Coronary Care"": 14.0, ""Intensive Care"": 88.0, ""Maternity"": 77.0, ""Medical / Surgical"": 627.0, ""Neonatal Continuing Care"": 10.0, ""Neonatal Intensive Care"": 26.0, ""Neonatal Intermediate Care"": 10.0, ""Pediatric"": 64.0, ""Pediatric ICU"": 21.0, ""Physical Medicine and Rehabilitation"": 88.0, ""Psychiatric"": 46.0}"
hospital_brooklyn_hospital_center___downtown_camp,Brooklyn Hospital Center - Downtown Campus,Brooklyn Hospital Center - Downtown Campus,464,exact_normalized,1.0,"{""AIDS"": 5.0, ""Chemical Dependence - Detoxification"": 10.0, ""Coronary Care"": 6.0, ""Intensive Care"": 24.0, ""Maternity"": 42.0, ""Medical / Surgical"": 311.0, ""Neonatal Intensive Care"": 10.0, ""Neonatal Intermediate Care"": 18.0, ""Pediatric"": 22.0, ""Pediatric ICU"": 6.0, ""Physical Medicine and Rehabilitation"": 10.0}"
hospital_nyu_langone_hospital___joseph_s__and_dia,Nyu Langone Hospital - Joseph S. And Diane H. Steinberg Ambulatory Care Center,NYU Langone Hospital - Joseph S. and Diane H. Steinberg Ambulatory Care Center,2,exact_normalized,1.0,"{""Medical / Surgical"": 2.0}"
hospital_new_york_presbyterian_hospital___new_yor,New York-Presbyterian Hospital - New York Weill Cornell Center,New York-Presbyterian Hospital - New York Weill Cornell Center,744,exact_normalized,1.0,"{""AIDS"": 30.0, ""Bone Marrow Transplant"": 15.0, ""Burns Care"": 23.0, ""Chemical Dependence  - Rehabilitation"": 14.0, ""Chemical Dependence - Detoxification"": 3.0, ""Coronary Care"": 20.0, ""Intensive Care"": 85.0, ""Medical / Surgical"": 427.0, ""Pediatric"": 46.0, ""Pediatric ICU"": 23.0, ""Physical Medicine and Rehabilitation"": 22.0, ""Psychiatric"": 36.0}"
hospital_interfaith_medical_center,Interfaith Medical Center,Interfaith Medical Center,287,exact_normalized,1.0,"{""Chemical Dependence  - Rehabilitation"": 20.0, ""Chemical Dependence - Detoxification"": 20.0, ""Intensive Care"": 13.0, ""Medical / Surgical"": 104.0, ""Pediatric"": 10.0, ""Psychiatric"": 120.0}"
hospital_mount_sinai_morningside,Mount Sinai Morningside,Mount Sinai Morningside,501,exact_normalized,1.0,"{""AIDS"": 16.0, ""Coronary Care"": 28.0, ""Intensive Care"": 24.0, ""Medical / Surgical"": 294.0, ""Pediatric"": 25.0, ""Physical Medicine and Rehabilitation"": 28.0, ""Psychiatric"": 74.0, ""Traumatic Brain Injury"": 12.0}"
hospital_newyork_presbyterian_brooklyn_methodist,Newyork-Presbyterian Brooklyn Methodist Hospital,NewYork-Presbyterian Brooklyn Methodist Hospital,577,exact_normalized,1.0,"{""Coronary Care"": 10.0, ""Intensive Care"": 28.0, ""Maternity"": 50.0, ""Medical / Surgical"": 385.0, ""Neonatal Intensive Care"": 18.0, ""Neonatal Intermediate Care"": 6.0, ""Pediatric"": 15.0, ""Pediatric ICU"": 4.0, ""Physical Medicine and Rehabilitation"": 25.0, ""Psychiatric"": 36.0}"
hospital_staten_island_university_hosp_north,Staten Island University Hosp-North,Staten Island University Hosp-North,487,exact_normalized,1.0,"{""Burns Care"": 10.0, ""Coronary Care"": 32.0, ""Intensive Care"": 36.0, ""Maternity"": 37.0, ""Medical / Surgical"": 312.0, ""Neonatal Continuing Care"": 2.0, ""Neonatal Intensive Care"": 6.0, ""Neonatal Intermediate Care"": 3.0, ""Pediatric"": 21.0, ""Pediatric ICU"": 4.0, ""Physical Medicine and Rehabilitation"": 24.0}"
hospital_new_york_presbyterian_hospital___allen_h,New York-Presbyterian Hospital - Allen Hospital,New York-Presbyterian Hospital - Allen Hospital,196,exact_normalized,1.0,"{""Coronary Care"": 6.0, ""Intensive Care"": 6.0, ""Maternity"": 20.0, ""Medical / Surgical"": 128.0, ""Neonatal Intermediate Care"": 6.0, ""Psychiatric"": 30.0}"
hospital_kingsbrook_jewish_medical_village,Kingsbrook Jewish Medical Village,Kingsbrook Jewish Medical Village,0,manual_hfis_zero_certified_beds,1.0,{}
hospital_wyckoff_heights_medical_center,Wyckoff Heights Medical Center,Wyckoff Heights Medical Center,324,exact_normalized,1.0,"{""Intensive Care"": 16.0, ""Maternity"": 26.0, ""Medical / Surgical"": 244.0, ""Neonatal Continuing Care"": 5.0, ""Neonatal Intensive Care"": 5.0, ""Pediatric"": 28.0}"
hospital_new_york_presbyterian_hospital___columbi,New York-Presbyterian Hospital - Columbia Presbyterian Center,New York-Presbyterian Hospital - Columbia Presbyterian Center,1022,exact_normalized,1.0,"{""AIDS"": 14.0, ""Bone Marrow Transplant"": 12.0, ""Chemical Dependence - Detoxification"": 3.0, ""Coronary Care"": 18.0, ""Intensive Care"": 99.0, ""Maternity"": 68.0, ""Medical / Surgical"": 562.0, ""Neonatal Continuing Care"": 11.0, ""Neonatal Intensive Care"": 50.0, ""Neonatal Intermediate Care"": 14.0, ""Pediatric"": 100.0, ""Pediatric ICU"": 41.0, ""Physical Medicine and Rehabilitation"": 5.0, ""Psychiatric"": 25.0}"
hospital_montefiore_medical_center___montefiore_w,Montefiore Medical Center - Montefiore Westchester Square,Montefiore Medical Center - Montefiore Westchester Square,0,manual_hfis_zero_certified_beds,1.0,{}
hospital_montefiore_medical_center_wakefield_hosp,Montefiore Medical Center-Wakefield Hospital,Montefiore Medical Center-Wakefield Hospital,321,exact_normalized,1.0,"{""Intensive Care"": 16.0, ""Maternity"": 30.0, ""Medical / Surgical"": 206.0, ""Neonatal Continuing Care"": 2.0, ""Neonatal Intensive Care"": 4.0, ""Neonatal Intermediate Care"": 9.0, ""Pediatric"": 5.0, ""Physical Medicine and Rehabilitation"": 16.0, ""Psychiatric"": 33.0}"
hospital_newyork_presbyterian_queens,Newyork-Presbyterian/Queens,NewYork-Presbyterian/Queens,535,exact_normalized,1.0,"{""AIDS"": 20.0, ""Intensive Care"": 68.0, ""Maternity"": 30.0, ""Medical / Surgical"": 383.0, ""Neonatal Continuing Care"": 5.0, ""Neonatal Intensive Care"": 3.0, ""Neonatal Intermediate Care"": 6.0, ""Pediatric"": 20.0}"
hospital_rockefeller_university_hospital,Rockefeller University Hospital,Rockefeller University Hospital,40,exact_normalized,1.0,"{""Medical / Surgical"": 40.0}"
hospital_long_island_jewish_medical_center,Long Island Jewish Medical Center,Long Island Jewish Medical Center,1014,exact_normalized,1.0,"{""Bone Marrow Transplant"": 4.0, ""Coronary Care"": 10.0, ""Intensive Care"": 62.0, ""Maternity"": 76.0, ""Medical / Surgical"": 435.0, ""Neonatal Continuing Care"": 4.0, ""Neonatal Intensive Care"": 24.0, ""Neonatal Intermediate Care"": 29.0, ""Pediatric"": 97.0, ""Pediatric ICU"": 37.0, ""Psychiatric"": 236.0}"
hospital_henry_j__carter_specialty_hospital,Henry J. Carter Specialty Hospital,Henry J. Carter Specialty Hospital,201,exact_normalized,1.0,"{""Medical / Surgical"": 201.0}"
hospital_new_york_presbyterian_lower_manhattan_ho,New York-Presbyterian/Lower Manhattan Hospital,New York-Presbyterian/Lower Manhattan Hospital,180,exact_normalized,1.0,"{""Coronary Care"": 8.0, ""Intensive Care"": 13.0, ""Maternity"": 24.0, ""Medical / Surgical"": 127.0, ""Neonatal Intermediate Care"": 8.0}"
hospital_hospital_for_special_surgery,Hospital For Special Surgery,Hospital for Special Surgery,215,exact_normalized,1.0,"{""Intensive Care"": 4.0, ""Medical / Surgical"": 201.0, ""Pediatric"": 10.0}"
hospital_mount_sinai_west,Mount Sinai West,Mount Sinai West,514,exact_normalized,1.0,"{""AIDS"": 18.0, ""Chemical Dependence  - Rehabilitation"": 11.0, ""Chemical Dependence - Detoxification"": 12.0, ""Intensive Care"": 33.0, ""Maternity"": 72.0, ""Medical / Surgical"": 276.0, ""Neonatal Continuing Care"": 15.0, ""Neonatal Intensive Care"": 10.0, ""Neonatal Intermediate Care"": 10.0, ""Physical Medicine and Rehabilitation"": 25.0, ""Psychiatric"": 32.0}"
hospital_sbh_health_system,Sbh Health System,SBH Health System,422,exact_normalized,1.0,"{""AIDS"": 22.0, ""Chemical Dependence - Detoxification"": 24.0, ""Intensive Care"": 26.0, ""Maternity"": 16.0, ""Medical / Surgical"": 254.0, ""Neonatal Continuing Care"": 5.0, ""Neonatal Intermediate Care"": 10.0, ""Pediatric"": 16.0, ""Psychiatric"": 49.0}"
hospital_mount_sinai____behavioral_health_center,Mount Sinai -  Behavioral Health Center,Mount Sinai -  Behavioral Health Center,115,exact_normalized,1.0,"{""Chemical Dependence  - Rehabilitation"": 25.0, ""Chemical Dependence - Detoxification"": 26.0, ""Psychiatric"": 64.0}"
hospital_calvary_hospital_inc,Calvary Hospital Inc,Calvary Hospital Inc,200,exact_normalized_AMBIGUOUS,1.0,"{""Medical / Surgical"": 200.0}"
hospital_nyu_langone_orthopedic_hospital,Nyu Langone Orthopedic Hospital,NYU Langone Orthopedic Hospital,225,exact_normalized,1.0,"{""Coma Recovery"": 7.0, ""Medical / Surgical"": 144.0, ""Physical Medicine and Rehabilitation"": 51.0, ""Traumatic Brain Injury"": 23.0}"
hospital_memorial_hospital_for_cancer_and_allied,Memorial Hospital For Cancer And Allied Diseases,Memorial Hospital for Cancer and Allied Diseases,514,exact_normalized,1.0,"{""Intensive Care"": 20.0, ""Medical / Surgical"": 456.0, ""Pediatric"": 33.0, ""Pediatric ICU"": 5.0}"
hospital_calvary_hospital,Calvary Hospital,Calvary Hospital Inc,200,exact_normalized_AMBIGUOUS,1.0,"{""Medical / Surgical"": 200.0}"
hospital_mount_sinai_brooklyn,Mount Sinai Brooklyn,Mount Sinai Brooklyn,212,exact_normalized,1.0,"{""Coronary Care"": 6.0, ""Intensive Care"": 12.0, ""Medical / Surgical"": 194.0}"
hospital_montefiore_medical_center___henry___lucy,Montefiore Medical Center - Henry & Lucy Moses Div,Montefiore Medical Center - Henry & Lucy Moses Div,816,exact_normalized,1.0,"{""AIDS"": 13.0, ""Bone Marrow Transplant"": 4.0, ""Coronary Care"": 12.0, ""Intensive Care"": 48.0, ""Medical / Surgical"": 581.0, ""Pediatric"": 116.0, ""Pediatric ICU"": 20.0, ""Psychiatric"": 22.0}"
hospital_new_york_eye_and_ear_infirmary_of_mount,New York Eye And Ear Infirmary Of Mount Sinai,New York Eye and Ear Infirmary of Mount Sinai,69,exact_normalized,1.0,"{""Medical / Surgical"": 69.0}"
hospital_rumc_bayley_seton,Rumc-Bayley Seton,RUMC-Bayley Seton,10,exact_normalized,1.0,"{""Psychiatric"": 10.0}"
hospital_university_hospital_of_brooklyn,University Hospital Of Brooklyn,University Hospital of Brooklyn,342,exact_normalized,1.0,"{""AIDS"": 15.0, ""Coronary Care"": 7.0, ""Intensive Care"": 19.0, ""Maternity"": 34.0, ""Medical / Surgical"": 175.0, ""Neonatal Continuing Care"": 7.0, ""Neonatal Intensive Care"": 14.0, ""Neonatal Intermediate Care"": 8.0, ""Pediatric"": 40.0, ""Pediatric ICU"": 5.0, ""Physical Medicine and Rehabilitation"": 18.0}"
hospital_brookdale_hospital_medical_center,Brookdale Hospital Medical Center,Brookdale Hospital Medical Center,530,exact_normalized,1.0,"{""Coronary Care"": 6.0, ""Intensive Care"": 33.0, ""Maternity"": 40.0, ""Medical / Surgical"": 313.0, ""Neonatal Continuing Care"": 10.0, ""Neonatal Intensive Care"": 10.0, ""Neonatal Intermediate Care"": 10.0, ""Pediatric"": 35.0, ""Pediatric ICU"": 6.0, ""Psychiatric"": 67.0}"
hospital_jamaica_hospital_medical_center,Jamaica Hospital Medical Center,Jamaica Hospital Medical Center,384,exact_normalized,1.0,"{""Coronary Care"": 4.0, ""Intensive Care"": 8.0, ""Maternity"": 40.0, ""Medical / Surgical"": 228.0, ""Neonatal Continuing Care"": 4.0, ""Neonatal Intensive Care"": 5.0, ""Neonatal Intermediate Care"": 10.0, ""Pediatric"": 13.0, ""Physical Medicine and Rehabilitation"": 16.0, ""Psychiatric"": 56.0}"
hospital_lenox_health_greenwich_village,Lenox Health Greenwich Village,Northwell Greenwich Village Hospital,8,fuzzy,0.8,"{""Medical / Surgical"": 8.0}"
hospital_lenox_hill_hospital,Lenox Hill Hospital,Lenox Hill Hospital,626,exact_normalized,1.0,"{""AIDS"": 12.0, ""Coronary Care"": 27.0, ""Intensive Care"": 15.0, ""Maternity"": 33.0, ""Medical / Surgical"": 470.0, ""Neonatal Continuing Care"": 10.0, ""Neonatal Intensive Care"": 10.0, ""Neonatal Intermediate Care"": 8.0, ""Pediatric"": 14.0, ""Psychiatric"": 27.0}"
hospital_maimonides_midwood_community_hospital,Maimonides Midwood Community Hospital,Maimonides Midwood Community Hospital,134,exact_normalized,1.0,"{""Intensive Care"": 7.0, ""Medical / Surgical"": 127.0}"
hospital_nyu_langone_hospitals,Nyu Langone Hospitals,NYU Langone Hospitals,813,exact_normalized,1.0,"{""Bone Marrow Transplant"": 6.0, ""Intensive Care"": 161.0, ""Maternity"": 55.0, ""Medical / Surgical"": 359.0, ""Neonatal Intensive Care"": 7.0, ""Neonatal Intermediate Care"": 18.0, ""Pediatric"": 34.0, ""Pediatric ICU"": 34.0, ""Physical Medicine and Rehabilitation"": 117.0, ""Psychiatric"": 22.0}"
hospital_st_johns_episcopal_hospital_so_shore,St Johns Episcopal Hospital So Shore,St Johns Episcopal Hospital So Shore,252,exact_normalized,1.0,"{""Chemical Dependence - Detoxification"": 32.0, ""Coronary Care"": 8.0, ""Intensive Care"": 8.0, ""Maternity"": 12.0, ""Medical / Surgical"": 139.0, ""Neonatal Intermediate Care"": 4.0, ""Pediatric"": 6.0, ""Psychiatric"": 43.0}"
hospital_flushing_hospital_medical_center,Flushing Hospital Medical Center,Flushing Hospital Medical Center,293,exact_normalized,1.0,"{""Chemical Dependence - Detoxification"": 30.0, ""Coronary Care"": 6.0, ""Intensive Care"": 12.0, ""Maternity"": 28.0, ""Medical / Surgical"": 169.0, ""Neonatal Continuing Care"": 3.0, ""Neonatal Intensive Care"": 6.0, ""Neonatal Intermediate Care"": 5.0, ""Pediatric"": 16.0, ""Psychiatric"": 18.0}"
hospital_staten_island_university_hospital_prince,Staten Island University Hospital Prince'S Bay,Staten Island University Hospital Prince's Bay,172,exact_normalized,1.0,"{""Chemical Dependence  - Rehabilitation"": 24.0, ""Chemical Dependence - Detoxification"": 22.0, ""Coronary Care"": 8.0, ""Intensive Care"": 8.0, ""Medical / Surgical"": 75.0, ""Psychiatric"": 35.0}"
hospital_bronxcare_hospital_center,Bronxcare Hospital Center,BronxCare Hospital Center,585,exact_normalized,1.0,"{""Chemical Dependence  - Rehabilitation"": 30.0, ""Chemical Dependence - Detoxification"": 36.0, ""Psychiatric"": 104.0, ""AIDS"": 22.0, ""Coronary Care"": 11.0, ""Intensive Care"": 26.0, ""Maternity"": 36.0, ""Medical / Surgical"": 250.0, ""Neonatal Continuing Care"": 6.0, ""Neonatal Intensive Care"": 14.0, ""Neonatal Intermediate Care"": 20.0, ""Pediatric"": 25.0, ""Pediatric ICU"": 5.0}"
hospital_montefiore_med_center___jack_d_weiler_ho,Montefiore Med Center - Jack D Weiler Hosp Of A Einstein College Div,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,421,exact_normalized,1.0,"{""Coronary Care"": 10.0, ""Intensive Care"": 22.0, ""Maternity"": 50.0, ""Medical / Surgical"": 304.0, ""Neonatal Continuing Care"": 9.0, ""Neonatal Intensive Care"": 11.0, ""Neonatal Intermediate Care"": 15.0}"
hospital_long_island_jewish_forest_hills,Long Island Jewish Forest Hills,Long Island Jewish Forest Hills,312,exact_normalized,1.0,"{""Intensive Care"": 28.0, ""Maternity"": 23.0, ""Medical / Surgical"": 251.0, ""Neonatal Continuing Care"": 9.0, ""Neonatal Intermediate Care"": 1.0}"
